"Cache ID",GC-code,"Cache name",Type,Size,Difficulty,Terrain,Latitude,Longitude,"Corrected latitude","Corrected longitude","Elevation (m)",Hidden,"Last publish date",Country,Region,County,Archived,Locked,Disabled,Premium,"Last find date","Last archive date",Finds,"Latest logs",FP,FP%,FPW,"Placed by","Added by","Added at","Source page","Source link",Owner,Found,"Usernote 1","Usernote 2","Usernote 3","Usernote 4","Usernote 5"
7773974,GC8VQ89,"Posedenie po stretáfke","Traditional Cache",Small,2.0,2.0,"N 48° 43.237","E 020° 57.690",,,464,2020-06-27,2020-06-27,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-12-12,,59,127,0,0.000000,0.000000,achillespoproc,tsk88,"2024-03-22 13:43:42",,,achillespoproc,1,,,,,
7776254,GC8VTKV,"Rozgang 3","Traditional Cache",Small,2.5,3.0,"N 48° 41.243","E 020° 33.395",,,462,2020-06-27,2020-06-28,Slovakia,"Košický kraj",Rožňava,0,0,0,0,2022-08-11,,18,127,1,10.000000,1.787575,eerwingeo,tsk88,"2024-03-22 13:44:32",,,eerwingeo,,,,,,
7776426,GC8VTTC,"#7. Lučivná  (Podtatranské obce)","Traditional Cache",Small,1.5,2.0,"N 49° 03.321","E 020° 08.241",,,790,2020-06-29,2020-07-01,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2024-02-20,,108,127,0,0.000000,0.000000,MarMonPP,tsk88,"2024-03-22 13:45:16",,,MarMonPP,,,,,,
7777338,GC8VVQT,"PI #1","Unknown Cache",Micro,5.0,1.5,"N 48° 42.950","E 021° 15.100","N 48° 43.576","E 021° 14.599",207,2020-06-29,2020-07-01,Slovakia,"Košický kraj","Košice IV",0,0,0,0,2024-02-23,,49,59,1,2.564100,0.454059,"Petosx IBrainac",tsk88,"2024-03-22 13:43:42",,,Petosx,,,,,,
7778936,GC8VXDB,ZAHURAWOOD,"Unknown Cache",Other,3.5,2.0,"N 48° 55.572","E 020° 48.334",,,409,2020-06-29,2020-07-08,Slovakia,"Košický kraj","Spišská Nová Ves",0,0,0,0,2024-02-10,,32,127,5,23.809500,10.627856,vogy1,tsk88,"2024-03-22 13:44:32",,,vogy1,,,,,,
7778982,GC8VXEV,"Vitajte v Lesoparku LAB Bonus","Unknown Cache",Regular,2.0,2.5,"N 48° 44.700","E 021° 17.200","N 48° 45.526","E 021° 18.030",345,2020-08-26,2020-08-31,Slovakia,"Košický kraj","Košice III",0,0,0,1,2024-02-24,,82,127,32,45.070400,34.047773,kurtica,tsk88,"2024-03-22 13:43:42",,,kurtica,1,,,,,
7781980,GC8W0JH,"FIRST STEP","Traditional Cache",Micro,1.5,1.5,"N 48° 57.662","E 020° 59.979",,,523,2020-07-02,2020-07-02,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2023-07-14,,47,63,0,0.000000,0.000000,valentinorossi77,tsk88,"2024-03-22 13:45:06",,,valentinorossi77,,,,,,
7783313,GC8W1ZH,"*01 R / „ČISTÁ PRÍRODA“","Traditional Cache",Small,1.5,2.0,"N 48° 57.408","E 021° 02.083",,,454,2020-07-03,2020-07-03,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2024-03-06,,79,127,0,0.000000,0.000000,hardstyle_007,tsk88,"2024-03-22 13:45:06",,,hardstyle_007,,,,,,
7786899,GC8W5P7,"Lesnícky náučný chodník DIANA - final","Unknown Cache",Small,4.0,5.0,"N 48° 54.480","E 020° 30.952",,,602,2020-07-05,2020-07-06,Slovakia,"Košický kraj","Spišská Nová Ves",0,0,0,0,2022-06-18,,11,127,3,37.500000,13.684176,vietor,tsk88,"2024-03-22 13:44:32",,,vietor,,,,,,
7787818,GC8W6MW,"Prameň Ondrej - Hôrka","Traditional Cache",Micro,1.5,2.0,"N 49° 01.315","E 020° 23.446",,,614,2020-07-06,2020-08-10,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2024-03-12,,122,87,3,5.263200,1.805997,Staninka79,tsk88,"2024-03-22 13:45:16",,,Staninka79,,,,,,
7788151,GC8W70K,"Petrov prameň","Traditional Cache",Small,2.0,2.5,"N 48° 44.183","E 020° 58.761",,,610,2020-07-06,2020-07-06,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-03-06,,32,127,2,8.000000,2.221993,achillespoproc,tsk88,"2024-03-22 13:43:42",,,achillespoproc,,,,,,
7788168,GC8W715,"Geocaching zábavou - 6. Príšerky","Traditional Cache",Small,5.0,2.5,"N 48° 41.899","E 020° 32.852",,,414,2020-07-04,2020-07-06,Slovakia,"Košický kraj",Rožňava,0,0,0,0,2023-12-23,,74,127,27,51.923100,38.685454,eerwingeo,tsk88,"2024-03-22 13:44:32",,,eerwingeo,,,,,,
